Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
Mild Retinopathy,Non Vegetarian,Breakfast,"Avocado Toast, Cabbage Stir Fry, Chicken Sandwich, Oats Chilla, Ragi Dosa, Spinach Rice",52,8,20,15,395,Yoga,Sugary Foods,60+,North,19.3,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Proliferative Retinopathy,Vegetarian,Dinner,"Bisi Bele Bath, Dhokla, Lauki Curry, Sweet Corn Salad, Tofu Stir Fry, Vegetable Daliya",33,12,8,5,315,Swimming,Refined Flour,46-60,South,23.2,Practice mindfulness and stress-reducing activities.,Friday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Almond Milk Smoothie, Chicken Sandwich, Masala Papad, Methi Paratha, Vegan Pancakes, Vegetable Handvo",41,13,18,8,378,Swimming,Processed Foods,36-45,East,21.5,Practice mindfulness and stress-reducing activities.,Friday
No retinopathy,Vegan,Snacks,"Fish Korma, Gatte ki Sabzi, Lauki Curry, Spinach Rice, Tofu Stir Fry, Vegetable Daliya",47,7,10,15,348,Brisk Walking,Soft Drinks,60+,Central,24.7,Keep a food diary to monitor your eating habits.,Thursday
No retinopathy,Vegan,Breakfast,"Bisi Bele Bath, Chicken Stew, Fish Curry, Kadhi with Rice, Turkey Kebab, Vegetable Daliya",33,9,17,9,405,Swimming,Excess Salt,46-60,North,24.7,"Eat small, frequent meals to maintain blood sugar levels.",Tuesday
No retinopathy,Vegetarian,Snacks,"Barnyard Millet Pongal, Masala Egg Toast, Masala Makhanas, Methi Thepla, Tofu Bhurji, Vegetable Upma",32,13,10,8,294,Brisk Walking,Excess Salt,26-35,East,18.3,Avoid skipping meals and maintain consistent meal timings.,Thursday
Moderate Retinopathy,Non Vegetarian,Lunch,"Amaranth Dal, Avocado Toast, Kadhi with Rice, Moong Dal Chilla, Turkey Kebab, Vegan Pancakes",54,10,10,10,463,Yoga,Deep Fried Items,36-45,Central,23.9,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Mild Retinopathy,Non Vegetarian,Lunch,"Barley Risotto, Masala Papad, Methi Thepla, Mutton Biryani, Paneer Cutlet, Rajma Pulao",34,10,16,9,355,Cycling,Sugary Foods,46-60,South,25.9,Get enough sleep to support overall health.,Sunday
Mild Retinopathy,Vegan,Snacks,"Chicken Stew, Millet Porridge, Multigrain Sandwich, Mutton Seekh, Sweet Corn Salad, Tofu Stir Fry",47,7,10,6,476,Swimming,Processed Foods,26-35,South,19.1,Exercise regularly to maintain healthy weight and sugar levels.,Friday
Mild Retinopathy,Vegetarian,Dinner,"Boiled Egg Salad, Cabbage Stir Fry, Moong Dal Chilla, Paneer Bhurji, Turkey Kebab, Vegetable Daliya",39,8,15,9,308,Swimming,Processed Foods,46-60,West,19.2,Practice mindfulness and stress-reducing activities.,Wednesday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Bisi Bele Bath, Egg Bhurji, Moong Dal Chilla, Sweet Corn Salad, Tofu Stir Fry, Vegetable Daliya",46,8,12,13,365,Brisk Walking,Deep Fried Items,26-35,North,23.8,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Mild Retinopathy,Vegan,Dinner,"Keema Pulao, Lauki Curry, Mutton Seekh, Oats Idli, Rajma Pulao, Spinach Khichdi",52,13,12,9,439,Brisk Walking,Soft Drinks,18-25,North,25.2,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Moderate Retinopathy,Non Vegetarian,Lunch,"Baingan Bharta, Bisi Bele Bath, Dhokla, Masala Idli, Paneer Bhurji, Turkey Kebab",33,9,20,14,490,Swimming,Processed Foods,36-45,South,22.4,Practice mindfulness and stress-reducing activities.,Friday
Moderate Retinopathy,Vegan,Breakfast,"Chicken Sandwich, Chole with Bhatura, Oats Chilla, Quinoa Salad, Sweet Potato Hash, Vegan Dum Biryani",53,7,15,10,287,Strength Training,Processed Foods,18-25,East,19.8,Avoid skipping meals and maintain consistent meal timings.,Saturday
No retinopathy,Vegan,Dinner,"Bisi Bele Bath, Cucumber Raita, Masala Makhanas, Paneer Bhurji, Tomato Shorba, Vegan Pancakes",45,14,12,12,346,Cycling,Sugary Foods,26-35,East,21.4,Keep a food diary to monitor your eating habits.,Thursday
Moderate Retinopathy,Vegetarian,Dinner,"Aloo Paratha, Boiled Egg Salad, Jeera Rice, Masala Egg Toast, Methi Thepla, Sweet Potato Hash",53,7,10,8,404,Brisk Walking,Deep Fried Items,46-60,North,20.4,Stay hydrated and drink at least 8 glasses of water daily.,Friday
Proliferative Retinopathy,Vegan,Snacks,"Dhokla, Fish Korma, Oats Chilla, Roasted Foxnuts, Stuffed Capsicum, Vegetable Upma",48,14,20,14,502,Yoga,Processed Foods,46-60,North,18.6,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
